ID,Tanggal,Jenis,Nama Transaksi,Akun,Akun Tujuan (Transfer),Anggota,Kategori,Jumlah (IDR),Catatan
53,2026-01-18 10:27:04,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,15000,beras
61,2026-01-18 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,33000,circle k
54,2026-01-19 10:27:22,Pengeluaran,House needs,BRI,,basedata.myself,House needs ,50000,wifi kos
55,2026-01-19 10:27:22,Pengeluaran,Random Stuff,UANG CASH,,basedata.myself,Random Stuff,5000,kapitan
56,2026-01-19 10:27:22,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
57,2026-01-19 10:28:45,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,1000,es batu
58,2026-01-19 13:40:17,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
59,2026-01-19 13:40:17,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,es teh jumbo
60,2026-01-19 13:40:17,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,pentol goreng gatsu
67,2026-01-20 16:00:00,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,150000,
62,2026-01-21 12:40:45,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,3000,bengbeng
63,2026-01-21 12:40:45,Pengeluaran,Olahraga,UANG CASH,,basedata.myself,Olahraga ,9000,badminton
64,2026-01-21 12:41:56,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,3000,es batu
68,2026-01-21 16:00:00,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
69,2026-01-21 16:00:00,Pengeluaran,basedata.beautify,BRI,,basedata.myself,basedata.beautify,50000,potong rambut
70,2026-01-21 16:00:00,Pengeluaran,basedata.beautify,BRI,,basedata.myself,basedata.beautify,100000,perfume
71,2026-01-21 16:00:00,Pengeluaran,basedata.recreation,BRI,,basedata.myself,basedata.recreation,300000,tiket konser
65,2026-01-22 14:00:16,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,18000,tengah hari coffee
66,2026-01-22 14:00:16,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
72,2026-01-22 14:01:58,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
73,2026-01-22 14:59:30,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,16000,nasi goreng cah solo
74,2026-01-23 12:27:27,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,5000,pempek hksn
75,2026-01-23 12:27:38,Pengeluaran,Bensin,UANG CASH,,basedata.myself,Bensin,50000,
76,2026-01-23 14:52:16,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
77,2026-01-23 14:52:16,Pengeluaran,basedata.recreation,BRI,,basedata.myself,basedata.recreation,100000,konser
78,2026-01-23 14:52:16,Pengeluaran,basedata.communication,UANG CASH,,basedata.myself,basedata.communication,27000,pulsa
79,2026-01-23 14:52:16,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,3000,air mineral
80,2026-01-23 14:52:16,Pengeluaran,basedata.tax,UANG CASH,,basedata.myself,basedata.tax,2000,donasi
81,2026-01-23 14:52:16,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,30000,nasi kuning handil bakti
82,2026-01-23 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,15000,bengbeng
84,2026-01-24 16:00:00,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,20000,"telur, mie"
85,2026-01-24 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,batagor
86,2026-01-24 16:00:00,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,1000,es batu
87,2026-01-24 16:00:00,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,45000,nasi kuning handil bakti
88,2026-01-24 16:00:00,Pengeluaran,basedata.tax,BRI,,basedata.myself,basedata.tax,100000,shopee
89,2026-01-24 16:00:00,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
90,2026-01-24 16:00:00,Transfer,UANG CASH,BRI,UANG CASH,,,200000,
91,2026-01-26 11:34:40,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,15000,"wet food, dry food"
92,2026-01-26 11:34:40,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,cemilan random
93,2026-01-27 12:04:09,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
94,2026-01-27 12:04:09,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,12000,ayam geprek midodari
95,2026-01-28 09:58:28,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,23000,paijo
